                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.5483,                 0.9571,                 1.3336,                0.89334,                0.88212,                0.88642,                0.62356,                 1.3132,                 0.7969,                 1.2818,              0.0014984,              0.0014984,              0.0014984
                     78,                   1.48,                 1.0164,                 1.3787,                0.89405,                0.88856,                0.88932,                0.64227,                 1.1354,                0.74554,                 1.2371,              0.0014918,              0.0014918,              0.0014918
                     79,                 1.5097,                0.96285,                 1.3757,                0.99091,                0.78947,                0.91266,                0.54637,                 1.3952,                0.81315,                 1.2852,              0.0014852,              0.0014852,              0.0014852
                     80,                 1.5203,                0.95788,                 1.3378,                0.99802,                0.84211,                0.92083,                0.67906,                 1.1004,                0.78849,                 1.1725,              0.0014786,              0.0014786,              0.0014786
                     81,                 1.5379,                0.98658,                 1.3677,                0.98492,                0.89474,                0.94113,                0.65807,                 1.1328,                0.76527,                 1.1871,               0.001472,               0.001472,               0.001472
                     82,                 1.4768,                 0.9539,                 1.3249,                      1,                0.93099,                0.94613,                0.65568,                 1.3283,                0.84809,                 1.2592,              0.0014654,              0.0014654,              0.0014654
                     83,                 1.4438,                0.93373,                 1.3089,                      1,                0.83392,                0.92974,                0.64602,                 1.0823,                0.74226,                 1.2095,              0.0014588,              0.0014588,              0.0014588
                     84,                 1.4392,                0.95566,                 1.3418,                 0.9989,                0.84211,                0.93631,                0.57901,                 1.3343,                0.78796,                  1.259,              0.0014522,              0.0014522,              0.0014522
                     85,                 1.4694,                0.93246,                 1.3035,                      1,                0.72507,                0.89046,                0.55367,                 1.3174,                0.84033,                 1.2767,              0.0014456,              0.0014456,              0.0014456
                     86,                 1.4846,                0.92993,                 1.3417,                 0.9871,                0.73684,                0.84947,                0.61836,                 1.1348,                0.71922,                 1.2382,               0.001439,               0.001439,               0.001439
                     87,                 1.4615,                0.89967,                 1.3065,                 0.9966,                0.84211,                0.86478,                 0.6319,                 1.0558,                0.70011,                 1.2052,              0.0014324,              0.0014324,              0.0014324
                     88,                 1.5307,                0.90175,                 1.3407,                0.99836,                0.78947,                0.84588,                0.60943,                 1.1941,                0.72917,                 1.2443,              0.0014258,              0.0014258,              0.0014258
                     89,                 1.5137,                0.92881,                 1.3285,                0.09172,                0.10526,                0.08457,                0.04363,                 3.3973,                 3.7784,                 2.4505,              0.0014192,              0.0014192,              0.0014192
                     90,                 1.4757,                0.89125,                 1.2698,                0.90141,                0.05263,                0.06626,                0.04873,                  3.296,                 4.0764,                  2.484,              0.0014126,              0.0014126,              0.0014126
